專案代號版本,專案名,出貨日,頁碼,板序,板材名稱,板色,板色名,板厚,完成H,完成D,裁切H,裁切D,數量序號,數量,封邊,正銑,背銑,特殊邊,NC,NC2,板材備註,條碼
1111111-08,1111測試專案,2020/12/8,'01001,134,右側板,H1145,自然巴多利,18,1800,600,1800,600,'1/1,1,P P P P,1 - - -,- - - -,'- - - -,Y,,,1111111-08-134
1111111-08,1111測試專案,2020/12/8,'01001,121,左側板,H1145,自然巴多利,18,1800,600,1800,600,'1/1,1,P P P P,1 - - -,- - - -,'- - - -,Y,,,1111111-08-121
1111111-08,1111測試專案,2020/12/8,'01002,1314,右側板,H1145,自然巴多利,18,1200,600,1200,600,'1/1,1,P P P P,1 - - -,- - - -,'- - - -,Y,,,1111111-08-1314
1111111-08,1111測試專案,2020/12/8,'01002,1301,左側板,H1145,自然巴多利,18,1200,600,1200,600,'1/1,1,P P P P,1 - - -,- - - -,'- - - -,Y,,,1111111-08-1301
1111111-08,1111測試專案,2020/12/8,'01001,299,底板,H1145,自然巴多利,18,564,600,564,600,'1/1,1,P - P -,- - - -,1 - - -,'- - - -,,Y,Bond,1111111-08-299
1111111-08,1111測試專案,2020/12/8,'01001,219,頂板,H1145,自然巴多利,18,564,600,564,600,'1/1,1,P - P -,- - - -,1 - - -,'- - - -,,Y,Bond,1111111-08-219
1111111-08,1111測試專案,2020/12/8,'01002,1479,底板,H1145,自然巴多利,18,564,600,564,600,'1/1,1,P - P -,- - - -,1 - - -,'- - - -,,Y,Bond,1111111-08-1479
1111111-08,1111測試專案,2020/12/8,'01002,1399,頂板,H1145,自然巴多利,18,564,600,564,600,'1/1,1,P - P -,- - - -,1 - - -,'- - - -,,Y,Bond,1111111-08-1399
1111111-08,1111測試專案,2020/12/8,'01001,337,固隔板,H1145,自然巴多利,18,564,572,564,572,'1/1,1,P - P -,- - - -,- - - -,'- - - -,Y,,固隔距離:37,1111111-08-337
1111111-08,1111測試專案,2020/12/8,'01002,1517,固隔板,H1145,自然巴多利,18,564,572,564,572,'1/1,1,P - P -,- - - -,- - - -,'- - - -,Y,,固隔距離:37,1111111-08-1517
1111111-08,1111測試專案,2020/12/8,'01001,441,門片,H1145,自然巴多利,18,1796.6,297,1795.6,296,'1/1,1,A A A A,- - - -,- - - -,'- - - -,Y,,"上:80.5,下:80.5,BHG:4,右開",1111111-08-441
1111111-08,1111測試專案,2020/12/8,'01001,455,門片,H1145,自然巴多利,18,1796.6,297,1795.6,296,'1/1,1,A A A A,- - - -,- - - -,'- - - -,Y,,"上:80.5,下:80.5,BHG:4,左開",1111111-08-455
1111111-08,1111測試專案,2020/12/8,'01002,1591,門片,H1145,自然巴多利,18,1196.6,297,1195.6,296,'1/1,1,A A A A,- - - -,- - - -,'- - - -,Y,,"上:80.5,下:80.5,BHG:4,右開",1111111-08-1591
1111111-08,1111測試專案,2020/12/8,'01002,1605,門片,H1145,自然巴多利,18,1196.6,297,1195.6,296,'1/1,1,A A A A,- - - -,- - - -,'- - - -,Y,,"上:80.5,下:80.5,BHG:4,左開",1111111-08-1605
1111111-08,1111測試專案,2020/12/8,'01001,41,背檔板,H1145,自然巴多利,18,564,137,564,137,'1/1,1,P - P -,- - - -,- - - -,'- - - -,Y,Y,KD,1111111-08-41
1111111-08,1111測試專案,2020/12/8,'01001,48,背檔板,H1145,自然巴多利,18,564,137,564,137,'1/1,1,P - P -,- - - -,- - - -,'- - - -,,Y,KD,1111111-08-48
1111111-08,1111測試專案,2020/12/8,'01002,1221,背檔板,H1145,自然巴多利,18,564,137,564,137,'1/1,1,P - P -,- - - -,- - - -,'- - - -,Y,Y,KD,1111111-08-1221
1111111-08,1111測試專案,2020/12/8,'01002,1228,背檔板,H1145,自然巴多利,18,564,137,564,137,'1/1,1,P - P -,- - - -,- - - -,'- - - -,,Y,KD,1111111-08-1228
